nombrecompleto,CostoPasajes,CostoViaticos,CantidadViajes,TotalViaje,CostoPerViaje,Institución
Omar Castillo,1209,1500,1,2709,2709,MICI
Omar Gómez,579,4375,7,4954,708,MEF
Omar González,1110,1120,2,2230,1115,MEF
Omar Justiniani,0,1200,1,1200,1200,Ministerio de la Presidencia
Omar Kai,0,4140,1,4140,4140,Ministerio del Ambiente
Omar Miranda,1217,4200,1,5417,5417,MEF
Orlando Bernal,1750,4735,4,6485,1621,Ministerio del Ambiente
Orley Jimenez,0,2800,2,2800,1400,Ministerio de Seguridad Pública
Oscar Calvillo,716,0,1,716,716,Ministerio de la Presidencia
Oscar Galvez,1170,2925,2,4095,2047,Ministerio de la Presidencia
Osyuldo Márquez,0,525,1,525,525,Ministerio del Ambiente
Otto Escartin,9765,16050,6,25815,4302,Ministerio de la Presidencia
Ovidio Fuentes,0,5200,2,5200,2600,Ministerio de Seguridad Pública
Pablo Cosio,0,600,1,600,600,MINSA
Pablo Guerra,0,1785,2,1785,893,Ministerio del Ambiente
Pablo Hamilton,0,2520,1,2520,2520,MEF
Pablo Morales,1589,0,1,1589,1589,AIG
Pablo Ruidiaz,6014,9080,6,15094,2516,AIG
Pacifico Chung,3274,2550,4,5824,1456,MOP
Padre Fontane,2736,0,1,2736,2736,Ministerio de la Presidencia
Paola Jaén,4900,6965,6,11865,1978,Ministerio del Ambiente
Patricia Batista,0,2400,1,2400,2400,Ministerio de Seguridad Pública
Patricia Castillo,1391,4200,1,5591,5591,MEF
Patricia De Saldaña,6487,10200,2,16687,8343,MEF
Patricia Lee,0,8400,3,8400,2800,Ministerio de Seguridad Pública
Patricia Quintana,2276,6425,4,8701,2175,MEF
Patricia Urriola,1274,700,1,1974,1974,MITRADEL
